ALTITUDE:97.4663200528594| MASS:77.1414947509766| VERTICALSPEED :1.52996536713974| GROUNDSPEED :0.00534285666750154|PRESS :7.35390265914855E-06| APOAPSIS :86.6808025195496
ALTITUDE:97.5671424644534| MASS:77.111213684082| VERTICALSPEED :1.74554459020273| GROUNDSPEED :0.0060045197652265|PRESS :1.03331134327389E-05| APOAPSIS :86.8178900530329
ALTITUDE:97.6806309008971| MASS:77.0809020996094| VERTICALSPEED :1.9621670192639| GROUNDSPEED :0.00668373840298139|PRESS :1.38612069338415E-05| APOAPSIS :86.9729301551124
ALTITUDE:97.806953471154| MASS:77.0505752563477| VERTICALSPEED :2.17953704176675| GROUNDSPEED :0.00737878567449288|PRESS :1.79384105356831E-05| APOAPSIS :87.1459764160682
ALTITUDE:97.9459906464908| MASS:77.0202255249023| VERTICALSPEED :2.3974774253343| GROUNDSPEED :0.00809097412601719|PRESS :2.25645783377455E-05| APOAPSIS :87.3370719644008
ALTITUDE:98.0979671108071| MASS:76.9898834228516| VERTICALSPEED :2.61588340016999| GROUNDSPEED :0.00881970891289277|PRESS :2.77398119500394E-05| APOAPSIS :87.5462567390641
ALTITUDE:98.2633194627706| MASS:76.9595260620117| VERTICALSPEED :2.83469598234458| GROUNDSPEED :0.00956606893563138|PRESS :3.34646614261718E-05| APOAPSIS :87.7735708316322
ALTITUDE:98.4422452694271| MASS:76.9291687011719| VERTICALSPEED :3.05390361231041| GROUNDSPEED :0.010331400381145|PRESS :3.9740146512623E-05| APOAPSIS :88.0190604315139
ALTITUDE:98.6346330551896| MASS:76.898811340332| VERTICALSPEED :3.27348998267591| GROUNDSPEED :0.0111153099488297|PRESS :4.65680553758736E-05| APOAPSIS :88.2827711999416
ALTITUDE:98.8402572284685| MASS:76.8684463500977| VERTICALSPEED :3.49339967854108| GROUNDSPEED :0.0119175222783323|PRESS :5.39502300679081E-05| APOAPSIS :88.5647293925285
ALTITUDE:99.0589209146565| MASS:76.8380889892578| VERTICALSPEED :3.7136312596069| GROUNDSPEED :0.0127370607299326|PRESS :6.18885117789797E-05| APOAPSIS :88.8649743048009
ALTITUDE:99.29052659648| MASS:76.807731628418| VERTICALSPEED :3.93418294119587| GROUNDSPEED :0.0135754802501403|PRESS :7.03846552262699E-05| APOAPSIS :89.1835474477848
ALTITUDE:99.5351489869645| MASS:76.7773666381836| VERTICALSPEED :4.15505364672235| GROUNDSPEED :0.0144336816114165|PRESS :7.94403129638349E-05| APOAPSIS :89.5204892555485
ALTITUDE:99.7929755232763| MASS:76.7470092773438| VERTICALSPEED :4.37624394453002| GROUNDSPEED :0.0153118134643372|PRESS :8.90577373096384E-05| APOAPSIS :89.8758403972024
ALTITUDE:100.064215302118| MASS:76.7166442871094| VERTICALSPEED :4.59775526375273| GROUNDSPEED :0.0162099926065955|PRESS :9.92392318160297E-05| APOAPSIS :90.2496420252137
ALTITUDE:100.348963459721| MASS:76.6862869262695| VERTICALSPEED :4.81958957193203| GROUNDSPEED :0.0171279934131204|PRESS :0.000109987032300232| APOAPSIS :90.6419369073119
ALTITUDE:100.64719195466| MASS:76.6559295654297| VERTICALSPEED :5.04174789686159| GROUNDSPEED :0.0180659103684933|PRESS :0.000121303574447625| APOAPSIS :91.0527669292642
ALTITUDE:100.958743985859| MASS:76.6255645751953| VERTICALSPEED :5.2642303244866| GROUNDSPEED :0.0190144221646075|PRESS :0.000133191215536488| APOAPSIS :91.4821742976783
ALTITUDE:101.283521956648| MASS:76.5952072143555| VERTICALSPEED :5.48703630186529| GROUNDSPEED :0.0199659823663179|PRESS :0.000145652271981869| APOAPSIS :91.9301989090163
ALTITUDE:101.621706287842| MASS:76.5648498535156| VERTICALSPEED :5.71016691452894| GROUNDSPEED :0.020934130589996|PRESS :0.00015868907123673| APOAPSIS :92.3968848792138
